family,genus
Orchidaceae,Aa
Compositae,Aaronsohnia
Thelypteridaceae,Abacopteris
Leguminosae,Abacosa
Leguminosae,Abarema
Compositae,Abasoloa
Salicaceae,Abatia
Myrtaceae,Abbevillea
Orchidaceae,Abdominea
Caprifoliaceae,Abelia
Ulmaceae,Abelicea
Oleaceae,Abeliophyllum
Malvaceae,Abelmoschus
Annonaceae,Aberemoa
Salicaceae,Aberia
Pinaceae,Abies
Thuidiaceae,Abietinella
Cyperaceae,Abildgaardia
Cucurbitaceae,Abobra
Xyridaceae,Abolboda
Urticaceae,Aboriella
Anacardiaceae,Abrahamia
Hymenophyllaceae,Abrodictyum
Malvaceae,Abroma
Nyctaginaceae,Abronia
Rousseaceae,Abrophyllum
Compositae,Abrotanella
Leguminosae,Abrus
Compositae,Absinthium
Apocynaceae,Absolmsia
Menispermaceae,Abuta
Malvaceae,Abutilon
Gnetaceae,Abutua
Leguminosae,Acacia
Leguminosae,Acaciella
Rosaceae,Acaena
Euphorbiaceae,Acalypha
Orchidaceae,Acampe
Compositae,Acamptopappus
Cactaceae,Acanthanthus
Leguminosae,Acantharia
Melastomataceae,Acanthella
Orchidaceae,Acanthephippium
Leguminosae,Acanthobotrya
Cactaceae,Acanthocalycium
Caprifoliaceae,Acanthocalyx
Asparagaceae,Acanthocarpus
Compositae,Acanthocephalus
Cactaceae,Acanthocereus
Velloziaceae,Acanthochlamys
Sematophyllaceae,Acanthocladiella
Compositae,Acanthocladium
Sematophyllaceae,Acanthocladium
Polygalaceae,Acanthocladus
Lejeuneaceae,Acanthocoleus
Compositae,Acanthodesmos
Acanthaceae,Acanthodium
Sematophyllaceae,Acanthodium
Polemoniaceae,Acanthogilia
Lejeuneaceae,Acantholejeunea
Plumbaginaceae,Acantholimon
Verbenaceae,Acantholippia
Cactaceae,Acantholobivia
Lamiaceae,Acanthomintha
Gesneriaceae,Acanthonema
Acanthaceae,Acanthopale
Araliaceae,Acanthopanax
Cactaceae,Acanthopetalus
Leguminosae,Acanthophaca
Orchidaceae,Acanthophippium
Arecaceae,Acanthophoenix
Caryophyllaceae,Acanthophyllum
Lamiaceae,Acanthoprasium
Acanthaceae,Acanthopsis
Cactaceae,Acanthorhipsalis
Plantaginaceae,Acanthorrhinum
Arecaceae,Acanthorrhiza
Sematophyllaceae,Acanthorrhynchium
